"Exchange","Segment","ExchSeg","Token","FullName","Symbol","TradingSymbol","Series","ISIN","LotSize","TickSize","PricePrecision","OptionType","Underlying","UnderlyingToken","StrikePrice","Expiry","FreezeQty","Lower Band","Upper Band","SurCodes","Events","ExchangeID","Multiplier","SettlementType",,,
"NSE","CM","NSECM",757614,"ARISINFRA SOLUTIONS LTD","ARIS","ARIS-EQ","EQ","INE0H9P01028",1,0.01,2,,,0,0,,812542,98.45,147.67,,,757614,1,,,,
"NSE","CM","NSECM",762583,"BILCARE LTD.","BI","BI-EQ","EQ","INE986A01012",1,0.01,2,,,0,0,,769928,47.42,71.12,2300,,762583,1,,,,
"NSE","CM","NSECM",9342,"PRITISH NANDY COMMUNICATI","PNC","PNC-EQ","EQ","INE392B01011",1,0.01,2,,,0,0,,473069,17.42,21.28,2200,2300,4300,,9342,1,,
"NSE","CM","NSECM",8944,"RITCO LOGISTICS LIMITED","RITCO","RITCO-EQ","EQ","INE01EG01016",1,0.05,2,,,0,0,,336459,237.8,356.6,,,8944,1,,,,
"NSE","CM","NSECM",1660,"ITC LTD","ITC","ITC-EQ","EQ","INE154A01025",1,0.05,2,,,0,0,,350824,255.15,311.75,,,1660,1,,,,
"NSE","CM","NSECM",763530,"DSPAMC - FMCGADD","FMCGADD","FMCGADD-EQ","EQ","INF740KA1ZA4",1,0.01,2,,,0,0,,38783,39.35,59.01,,,763530,1,,,,
"NSE","CM","NSECM",2493,"ORIENT HOTELS LTD","ORIENTHOT","ORIENTHOT-EQ","EQ","INE750A01020",1,0.01,2,,,0,0,,741542,107.88,161.8,,"Final Dividend - Rs. - 0.6500","23 Jul 2026",2493,1,,,
"NSE","CM","NSECM",21770,"ICICI LOMBARD GIC LIMITED","ICICIGI","ICICIGI-EQ","EQ","INE765G01017",1,0.1,2,,,0,0,,59899,1495.7,1827.9,,,21770,1,,,,
"NSE","CM","NSECM",19878,"ESAF SMALL FINANCE BANK L","ESAFSFB","ESAFSFB-EQ","EQ","INE818W01011",1,0.01,2,,,0,0,,2584401,30.96,46.42,2200,3300,,19878,1,,,
"NSE","CM","NSECM",7979,"MIRAEAMC - MAMFGETF","MAKEINDIA","MAKEINDIA-EQ","EQ","INF769K01IB1",1,0.01,2,,,0,0,,508328,129.56,194.34,,,7979,1,,,,
"NSE","CM","NSECM",23804,"ADITYBIRLA SL GOLD ETF-GR","BSLGOLDETF","BSLGOLDETF-EQ","EQ","INF209KB18D3",1,0.01,2,,,0,0,,791898,101.02,151.52,,,23804,1,,,,
"NSE","CM","NSECM",1134,"APOLLO MICRO SYSTEMS LTD","APOLLO","APOLLO-EQ","EQ","INE713T01028",1,0.05,2,,,0,0,,253328,315.45,473.15,201,2100,,1134,1,,,
"NSE","CM","NSECM",9553,"PRUDENT CORP ADV SER LTD","PRUDENT","PRUDENT-EQ","EQ","INE00F201020",1,0.1,2,,,0,0,,34946,2287.2,3430.6,2100,,9553,1,,,,
"NSE","CM","NSECM",9408,"RAINBOW CHILDRENS MED LTD","RAINBOW","RAINBOW-EQ","EQ","INE961O01016",1,0.1,2,,,0,0,,68551,1166.3,1749.3,2100,"Final Dividend - Rs. - 3.5000","21 Jul 2026",9408,1,,,
